# Converted to mas/yr using D=4.521 kpc
<r>       σ         ΔσUp      ΔσLow
['']     [mas/yr]  [mas/yr]  [mas/yr]
276.77   0.38545   0.02007   0.01867   GEDR3
370.70   0.40132   0.02100   0.01960   GEDR3
464.75   0.35698   0.01913   0.01727   GEDR3
517.80   0.35325   0.01867   0.01727   GEDR3
577.09   0.31405   0.01680   0.01540   GEDR3
644.36   0.27579   0.01493   0.01353   GEDR3
721.52   0.28885   0.01540   0.01400   GEDR3
818.57   0.27439   0.01447   0.01353   GEDR3
932.67   0.22026   0.01213   0.01073   GEDR3
1089.20  0.22212   0.01213   0.01120   GEDR3
1317.03  0.21186   0.01167   0.01073   GEDR3
