<r>      σ      ΔσUp    ΔσLow
['']   [km/s]  [km/s]  [km/s]
15.91   11.15   0.50    0.47    RV
31.21   11.54   0.52    0.49    RV
41.79   12.55   0.56    0.52    RV
54.60   10.39   0.47    0.43    RV
67.76   10.43   0.66    0.60    RV
82.45   11.33   0.72    0.65    RV
107.52  10.45   0.66    0.60    RV
142.39  9.55    0.61    0.55    RV
181.11  8.73    0.56    0.51    RV
221.31  8.98    0.57    0.52    RV
265.76  7.93    0.51    0.46    RV
300.62  8.33    0.53    0.49    RV
334.18  8.32    0.53    0.49    RV
366.34  8.19    0.52    0.48    RV
400.07  7.71    0.49    0.45    RV
432.91  7.79    0.50    0.46    RV
465.36  7.40    0.48    0.44    RV
502.91  7.03    0.46    0.42    RV
543.33  7.35    0.47    0.43    RV
586.83  6.78    0.44    0.40    RV
643.86  5.91    0.39    0.35    RV
702.70  6.81    0.45    0.41    RV
772.98  5.44    0.36    0.33    RV
854.51  5.09    0.35    0.32    RV
960.42  5.39    0.36    0.33    RV
1102.12 4.97    0.34    0.32    RV
1350.98 3.86    0.29    0.26    RV
1971.14 3.66    0.50    0.42    RV
