# --------------------------------- spin ---------------------------------------

ID  r [arcmin]  P [ms]               ΔP [ms]            Pdot [s/s]      ΔPdot [s/s]     DM [pc/cm3]  ΔDM [pc/cm3]
aa  0.465       1.8453805296800      0.0000000000006    -4.5890E-20     0.0015E-20      24.971       0.007
ab  0.2092      3.7046394947985      0.0000000000005    9.820E-21       0.008E-21       24.373       0.020
c   1.2298      5.7567799955164      0.0000000000001    -49.850E-21     0.002E-21       24.600       0.004
D   0.6483      5.35757328486572     0.00000000000007   -3.4219E-21     0.0009E-21      24.732       0.003
E   0.6205      3.53632915276243     0.00000000000003   98.5103E-21     0.0005E-21      24.236       0.004
F   0.2149      2.62357935251262     0.00000000000003   64.5031E-21     0.0007E-21      24.382       0.005
G   0.2781      4.0403791435651      0.0000000000001    -42.159E-21     0.002E-21       24.436       0.004
H   0.7677      3.2103407093504      0.0000000000001    -1.830E-21      0.001E-21       24.369       0.008
I   0.2772      3.4849920616629      0.0000000000001    -45.873E-21     0.002E-21       24.429       0.010
J   1.0185      2.10063354535248     0.00000000000006   -9.7919E-21     0.0009E-21      24.588       0.003
L   0.1627      4.3461679994616      0.0000000000003    -122.0406E-21   0.0010E-21      24.400       0.012
M   1.0688      3.6766432176002      0.0000000000003    -38.418E-21     0.005E-21       24.432       0.016
N   0.4793      3.0539543462608      0.0000000000001    -21.857E-21     0.002E-21       24.574       0.009
O   0.0806      2.64334329724356     0.00000000000004   30.3493E-21     0.0006E-21      24.356       0.002
Q   0.9502      4.0331811845726      0.0000000000002    34.0076E-21     0.0006E-21      24.265       0.004
R   0.1519      3.4804627074933      0.0000000000002    148.351E-21     0.003E-21       24.361       0.007
S   0.2150      2.83040595787912     0.00000000000007   -120.541E-21    0.001E-21       24.376       0.004
T   0.3179      7.5884798073671      0.0000000000009    293.80E-21      0.01E-21        24.411       0.021
U   0.9386      4.3428266963923      0.0000000000001    95.228E-21      0.002E-21       24.337       0.004
W   0.087       2.3523445319370      0.0000000000003    -8.6553E-20     0.0001E-20      24.367       0.003
X   3.828       4.77152291069355     0.00000000000005   1.83609E-20     0.00007E-20     24.539       0.005
Y   0.3743      2.19665714352124     0.00000000000006   -35.1720E-21    0.0008E-21      24.468       0.004
Z   0.1506      4.554447383906       0.000000000003     -4.56E-21       0.1E-21         24.450       0.040

# ------------------------------- orbital --------------------------------------

ID  r [arcmin]  Pb [day]             ΔPb [day]          Pbdot [s/s]     ΔPbdot [s/s]    DM [pc/cm3]  ΔDM [pc/cm3]
E   0.6205      2.2568483            0.0000009          4.8E-12         0.2E-12         24.236       0.004
H   0.7677      2.357696895          0.000000010        -0.7E-12        0.6E-12         24.369       0.008
I   0.2772      0.2297922489         0.0000000004       -0.8E-12        0.2E-12         24.429       0.010
Q   0.9502      1.1890840496         0.0000000004       -1.0E-12        0.2E-12         24.265       0.004
R   0.1519      0.06623147751        0.00000000006      0.19E-12        0.04E-12        24.361       0.007
S   0.2150      1.2017242354         0.0000000006       -4.9E-12        0.4E-12         24.376       0.004
T   0.3179      1.126176771          0.000000001        2.5E-12         1.1E-12         24.411       0.021
U   0.9386      0.42910568324        0.00000000008      0.66E-12        0.05E-12        24.337       0.004
X   3.828       10.921183545         0.000000001        6E-12           2E-12           24.539       0.005
Y   0.3743      0.5219386107         0.0000000001       -0.82E-12       0.07E-12        24.468       0.004
