<r>      σ      ΔσUp    ΔσLow
['']  [km/sec] [km/sec] [km/sec]   
13.34   4.82    0.28    0.26
31.56   4.83    0.27    0.26
46.86   4.36    0.25    0.23
67.08   4.52    0.25    0.24
91.65   4.70    0.26    0.24
120.07  4.15    0.23    0.22
143.02  4.04    0.23    0.21
170.46  3.94    0.22    0.20
203.69  4.16    0.23    0.21
242.65  3.55    0.19    0.18
286.74  3.75    0.20    0.19
335.67  3.65    0.20    0.18
384.30  3.41    0.19    0.17
444.37  3.53    0.19    0.18
512.56  3.08    0.17    0.16
730.63  2.82    0.16    0.15
