R              e_R            sigma           e_sigma          Ratio          e_Ratio
[arcsec]       [arcsec]       [mas/yr]        [mas/yr]
2.5511156      0.947466709229 0.444979100496  0.042839641126   0.913016866777 0.197709261908
4.9483144      0.664094780652 0.461031951599  0.0510616543459  0.868702028402 0.175667609988
6.9073284      0.476391662259 0.485753698004  0.0430264632503  1.30498014211  0.251945137207
8.6075564      0.645576154348 0.488144252841  0.0446352709676  0.975838755177 0.199311814788
12.1573346      0.949569715895 0.424483403095  0.0277318554564  1.05908102276  0.15451769639
15.1527222449   1.00693460331  0.431154533571  0.0315802446858  0.888864775355 0.129718853625
18.4064254      0.960011021804 0.439606736199  0.0355121156933  1.17416048118  0.163314485698
22.5967783544   1.39331378958  0.45243835745   0.0224903501062  1.03444874441  0.120988753324
27.2101071795   1.31097880739  0.445456480147  0.0231184253103  1.03997674384  0.130359214014
31.4584003846   1.16417136847  0.423138165488  0.0264805858213  1.0061196892   0.114574874053
36.1177070513   1.15497976433  0.406478259843  0.0227230442801  0.916179965403 0.0963587685691
40.5531873077   1.36333465922  0.407833156257  0.0229695299592  0.902224548915 0.105118055484
45.3514874359   1.41915009197  0.403950518548  0.0249240190096  0.853261226891 0.100572731293
49.6065420513   1.24246168788  0.441293596832  0.0249436767323  1.17685148949  0.131315811458
53.192295       1.00553939926  0.424630239638  0.0240232435312  0.776752562423 0.0852615574121
57.0111161538   1.27331619551  0.462265355989  0.0240081580265  0.961703456374 0.118114558209
62.2167442308   1.59754325535  0.434918784581  0.0219020749574  0.915511978722 0.108733302625
67.6423901266   1.6230009419   0.413542979095  0.0245408869809  0.93746866339  0.109265576801
72.504865641    1.02995266534  0.415758250068  0.0255698068015  1.11835926051  0.128622616037
76.2112344872   1.33964118283  0.419865171759  0.0266580655766  1.06299749588  0.12993052903
81.1569317949   1.55160011047  0.384341882781  0.0187533927688  1.19034812968  0.147497049236
86.0339487179   1.29246164568  0.411546385449  0.0225225819978  0.878087450514 0.109119416522
90.6349587179   1.41018487648  0.401740172876  0.0236547328995  0.924893095625 0.104828948124
95.3552102564   1.26621367066  0.386413849539  0.0195959649142  1.14848362318  0.137155302526
100.135212436    1.47946775489  0.399077404314  0.0222854528962  0.898457503224 0.10407069621
106.440050641    2.28431680791  0.396151670112  0.0253167989952  0.923534257684 0.103592013003
119.245016709    8.20534521383  0.360551687933  0.0180993073495  0.915700811355 0.116934102723
