#Name	[Fe/H]	Dist	Distupperr Distlowerr	Av	Avuperr	Avlowerr	Y	Yuperr	Ylowerr	log(Age) log(Age)uperr log(Age)lowerr	Age(Gyr)	Age(Gyr)uperr	Age(Gyr)lowerr	RelativeAge
Arp2 	   -1.750 	   17.613   +0.012   -0.013    	   0.350   +0.006   -0.006    	   0.300   +0.009   -0.009    	   10.130   +0.001   -0.003    	   13.476   +0.022   -0.083    	   0.476 
IC4499 	   -1.530 	   17.006   +0.006   -0.006    	   0.741   +0.003   -0.004    	   0.329   +0.001   -0.002    	   10.102   +0.003   -0.003    	   12.661   +0.077   -0.078    	   0.661 
Lynga7 	   -1.010 	   16.781   +0.015   -0.016    	   2.483   +0.014   -0.013    	   0.291   +0.012   -0.011    	   10.097   +0.011   -0.011    	   12.513   +0.321   -0.319    	   0.013 
NGC0104 	   -0.720 	   13.378   +0.004   -0.004    	   0.105   +0.002   -0.002    	   0.271   +0.003   -0.003    	   10.130   +0.000   -0.001    	   13.494   +0.006   -0.022    	   0.744 
NGC0288 	   -1.320 	   14.948   +0.009   -0.009    	   0.084   +0.008   -0.007    	   0.291   +0.006   -0.006    	   10.101   +0.005   -0.005    	   12.629   +0.149   -0.157    	   0.129 
NGC0362 	   -1.260 	   14.852   +0.006   -0.006    	   0.117   +0.006   -0.006    	   0.302   +0.006   -0.005    	   10.059   +0.004   -0.004    	   11.457   +0.097   -0.105    	   -0.043 
NGC1261 	   -1.270 	   16.110   +0.005   -0.006    	   0.070   +0.005   -0.005    	   0.303   +0.005   -0.004    	   10.065   +0.003   -0.003    	   11.606   +0.092   -0.090    	   0.106 
NGC1851 	   -1.180   +0.000   -0.000    	   15.526   +0.006   -0.005    	   0.157   +0.005   -0.005    	   0.307   +0.005   -0.004    	   10.058   +0.004   -0.003    	   11.433   +0.096   -0.092    	   --- 
NGC2298 	   -1.920 	   15.627   +0.012   -0.026    	   0.760   +0.008   -0.005    	   0.337   +0.018   -0.008    	   10.130   +0.000   -0.001    	   13.493   +0.007   -0.017    	   0.493 
NGC2808 	   -1.140   +0.000   -0.000    	   15.658   +0.006   -0.007    	   0.648   +0.003   -0.003    	   0.329   +0.001   -0.002    	   10.045   +0.003   -0.003    	   11.092   +0.080   -0.075    	   --- 
 NGC3201 	   -1.590 	   14.189   +0.013   -0.017    	   0.884   +0.010   -0.014    	   0.313   +0.007   -0.008    	   10.108   +0.009   -0.007    	   12.836   +0.277   -0.206    	   0.836 
 NGC4147 	   -1.800 	   16.444   +0.006   -0.006    	   0.113   +0.003   -0.003    	   0.329   +0.001   -0.002    	   10.123   +0.003   -0.002    	   13.261   +0.077   -0.071    	   0.511 
 NGC4590 	   -2.230 	   15.247   +0.007   -0.006    	   0.221   +0.004   -0.004    	   0.353   +0.005   -0.005    	   10.107   +0.003   -0.002    	   12.803   +0.074   -0.073    	   -0.197 
 NGC4833 	   -1.850 	   15.083   +0.005   -0.006    	   1.122   +0.004   -0.004    	   0.369   +0.006   -0.005    	   10.130   +0.000   -0.000    	   13.495   +0.004   -0.014    	   0.495 
 NGC5024 	   -2.100 	   16.409   +0.003   -0.004    	   0.108   +0.001   -0.001    	   0.330   +0.001   -0.001    	   10.130   +0.000   -0.000    	   13.498   +0.002   -0.008    	   0.248 
 NGC5053 	   -2.270 	   16.235   +0.008   -0.007    	   0.068   +0.003   -0.003    	   0.324   +0.005   -0.007    	   10.130   +0.000   -0.001    	   13.493   +0.006   -0.021    	   -0.007 
 NGC5139 	   -1.530   +0.000   -0.000    	   14.075   +0.008   -0.007    	   0.502   +0.008   -0.007    	   0.409   +0.009   -0.007    	   10.121   +0.003   -0.003    	   13.227   +0.091   -0.088    	   --- 
 NGC5272 	   -1.500 	   15.081   +0.006   -0.006    	   0.066   +0.005   -0.005    	   0.297   +0.005   -0.005    	   10.100   +0.002   -0.003    	   12.585   +0.071   -0.078    	   0.085 
 NGC5286 	   -1.510 	   15.959   +0.008   -0.006    	   0.833   +0.003   -0.003    	   0.329   +0.001   -0.002    	   10.128   +0.002   -0.003    	   13.439   +0.056   -0.104    	   0.439 
 NGC5466 	   -1.980 	   16.004   +0.008   -0.008    	   0.064   +0.006   -0.006    	   0.322   +0.006   -0.007    	   10.127   +0.004   -0.004    	   13.410   +0.116   -0.120    	   0.410 
 NGC5904 	   -1.290 	   14.443   +0.007   -0.007    	   0.166   +0.006   -0.007    	   0.326   +0.004   -0.005    	   10.079   +0.004   -0.004    	   12.007   +0.122   -0.115    	   -0.243 
 NGC5927 	   -0.490 	   15.843   +0.016   -0.018    	   1.304   +0.009   -0.005    	   0.268   +0.007   -0.005    	   10.098   +0.004   -0.009    	   12.528   +0.125   -0.270    	   0.278 
 NGC5986 	   -1.590 	   16.014   +0.007   -0.007    	   0.991   +0.004   -0.004    	   0.357   +0.007   -0.006    	   10.130   +0.000   -0.001    	   13.493   +0.006   -0.023    	   0.243 
 NGC6093 	   -1.750 	   15.746   +0.006   -0.006    	   0.755   +0.003   -0.004    	   0.370   +0.005   -0.006    	   10.130   +0.000   -0.001    	   13.495   +0.005   -0.016    	   -0.005 
 NGC6101 	   -1.980 	   16.110   +0.005   -0.004    	   0.415   +0.002   -0.002    	   0.344   +0.004   -0.004    	   10.130   +0.000   -0.000    	   13.497   +0.003   -0.011    	   0.497 
 NGC6121 	   -1.160 	   12.798   +0.008   -0.016    	   1.381   +0.003   -0.019    	   0.274   +0.005   -0.013    	   10.113   +0.018   -0.002    	   12.966   +0.547   -0.074    	   0.466 
 NGC6144 	   -1.760 	   15.863   +0.008   -0.006    	   1.496   +0.003   -0.004    	   0.392   +0.005   -0.008    	   10.130   +0.000   -0.000    	   13.494   +0.005   -0.008    	   -0.006 
 NGC6171 	   -1.020 	   15.013   +0.016   -0.012    	   1.373   +0.003   -0.003    	   0.297   +0.006   -0.008    	   10.130   +0.001   -0.002    	   13.477   +0.021   -0.066    	   0.727 
 NGC6205 	   -1.530 	   14.442   +0.006   -0.005    	   0.120   +0.005   -0.006    	   0.357   +0.006   -0.005    	   10.117   +0.003   -0.003    	   13.094   +0.084   -0.082    	   0.094 
 NGC6218 	   -1.370 	   14.178   +0.002   -0.002    	   0.682   +0.001   -0.001    	   0.330   +0.001   -0.000    	   10.130   +0.000   -0.000    	   13.496   +0.004   -0.013    	   0.246 
 NGC6254 	   -1.560 	   14.435   +0.008   -0.008    	   0.903   +0.011   -0.010    	   0.371   +0.009   -0.008    	   10.109   +0.006   -0.005    	   12.846   +0.164   -0.158    	   -0.154 
 NGC6304 	   -0.450 	   15.465   +0.015   -0.017    	   1.547   +0.007   -0.008    	   0.311   +0.009   -0.006    	   10.112   +0.007   -0.006    	   12.950   +0.199   -0.186    	   0.200 
 NGC6341 	   -2.310 	   14.724   +0.004   -0.004    	   0.109   +0.002   -0.002    	   0.347   +0.004   -0.004    	   10.130   +0.000   -0.000    	   13.498   +0.002   -0.007    	   0.248 
 NGC6352 	   -0.640 	   14.478   +0.009   -0.009    	   0.793   +0.003   -0.004    	   0.245   +0.005   -0.006    	   10.130   +0.000   -0.001    	   13.491   +0.008   -0.025    	   0.491 
 NGC6362 	   -0.990 	   14.666   +0.006   -0.007    	   0.248   +0.001   -0.002    	   0.272   +0.003   -0.003    	   10.130   +0.000   -0.001    	   13.495   +0.005   -0.018    	   0.995 
 NGC6366 	   -0.590 	   14.813   +0.026   -0.017    	   2.284   +0.011   -0.010    	   0.315   +0.012   -0.008    	   10.110   +0.008   -0.008    	   12.879   +0.247   -0.253    	   0.879 
 NGC6388 	   -0.550   +0.000   -0.000    	   16.451   +0.009   -0.010    	   1.205   +0.010   -0.009    	   0.370   +0.008   -0.007    	   10.051   +0.006   -0.006    	   11.240   +0.144   -0.151    	   --- 
