rad       density     density_err 
0.005331  9806.37109   408.36363 
0.008992  9806.37109   545.37058 
0.011012  9716.46574   404.61973 
0.013485 11363.40076  3254.27968 
0.016514 10653.89282  1956.26194 
0.020177 11681.76118  4048.24988 
0.024652 11468.54501  3800.66990 
0.026968  8385.10149  1298.00572 
0.030189 11681.76118  4404.62219 
0.036800 11363.40076  4110.83857 
0.037141  7438.89320  2241.48576 
0.044243  7303.11810  2200.57403 
0.044962 11053.71654  3830.60448 
0.054431  7718.06308  1194.74881 
0.054809 10851.96348  4258.47897 
0.056474  7577.19255  1281.91599 
0.066965  9539.12025  2448.75826 
0.075136  6910.48174  1268.89886 
0.081442  6847.12606  1059.92859 
0.082007  7718.06308   213.92477 
0.100196  6910.48174   191.54070 
0.108855  6018.77798   845.47445 
0.115837  5695.19139  1045.74791 
0.122419  6018.77798   250.63808 
0.136097  5194.07628   804.03806 
0.149571  5591.24243   389.33082 
0.159165  4523.85132   830.66709 
0.162873  4482.37641   693.86760 
0.182746  4202.50582   411.06860 
0.190480  3940.10979   553.47816 
0.199457  3560.47814   809.25425 
0.202698  3560.47814   757.21339 
0.217194  3495.49209   441.13403 
0.223279  3560.47814   198.01209 
0.244821  3158.69959   264.37977 
0.245951  2988.87893   505.66112 
0.272175  2907.42368   161.69318 
0.272803  3307.56451   512.00783 
0.277875  2509.04427   570.27586 
0.288967  2627.29188   219.90152 
0.299122  2651.60191    36.68999 
0.326474  2418.28969    67.02874 
0.332544  2396.11867    33.15489 
0.333310  2509.04427   245.42246 
0.353060  2205.50641    30.51740 
0.377441  2185.28620   306.97322 
0.380933  2048.84132   113.94406 
0.407238  2125.73109   545.68990 
0.408177  1903.30472   132.53140 
0.435360  1751.89601   146.63182 
0.465424  1704.15198   312.91545 
0.489608  1470.64660   102.40444 
0.497564  1525.83764   236.19821 
0.554433  1341.24564   265.72226 
0.571280  1168.17612    81.34274 
0.607923  1125.92205   174.29166 
0.640986  1045.94374   161.91109 
0.652903   989.71083   124.90234 
0.655917   838.51015   105.82068 
0.671195   800.77098   112.48652 
0.734258   800.77098    67.02367 
