sigma R
R[arcmin] sigmaR[mas/yr] eminus eplus
5.129999999999999893e+00 4.400000000000000022e-01 1.900000000000001688e-02 1.700000000000001510e-02
5.387999999999999901e+00 4.410000000000000031e-01 1.800000000000001599e-02 1.800000000000001599e-02
5.610999999999999766e+00 4.339999999999999969e-01 1.800000000000001599e-02 1.600000000000001421e-02
5.822000000000000064e+00 4.259999999999999898e-01 1.900000000000001688e-02 1.600000000000001421e-02
6.025000000000000355e+00 4.349999999999999978e-01 2.100000000000001865e-02 1.900000000000001688e-02
6.233999999999999986e+00 4.480000000000000093e-01 1.900000000000001688e-02 1.600000000000001421e-02
6.427999999999999936e+00 4.319999999999999951e-01 2.100000000000001865e-02 1.700000000000001510e-02
6.634000000000000341e+00 4.149999999999999800e-01 1.899999999999996136e-02 1.700000000000001510e-02
6.849999999999999645e+00 3.990000000000000213e-01 1.900000000000001688e-02 1.899999999999996136e-02
7.078000000000000291e+00 4.329999999999999960e-01 2.000000000000001776e-02 1.800000000000001599e-02
7.344999999999999751e+00 4.179999999999999827e-01 1.999999999999996225e-02 1.800000000000001599e-02
7.637999999999999901e+00 4.030000000000000249e-01 1.800000000000001599e-02 1.599999999999995870e-02
7.969999999999999751e+00 3.840000000000000080e-01 1.800000000000001599e-02 1.800000000000001599e-02
8.326999999999999957e+00 3.689999999999999947e-01 2.000000000000001776e-02 1.800000000000001599e-02


sigma T
R[arcmin] sigmaR[mas/yr] eminus eplus
5.126000000000000334e+00 3.900000000000000133e-01 1.700000000000001510e-02 1.600000000000001421e-02
5.394999999999999574e+00 3.719999999999999973e-01 1.500000000000001332e-02 1.600000000000001421e-02
5.615000000000000213e+00 3.780000000000000027e-01 1.600000000000001421e-02 1.700000000000001510e-02
5.820999999999999730e+00 3.860000000000000098e-01 1.600000000000001421e-02 1.600000000000001421e-02
6.024000000000000021e+00 3.760000000000000009e-01 1.700000000000001510e-02 1.600000000000001421e-02
6.230999999999999872e+00 3.930000000000000160e-01 2.000000000000001776e-02 1.799999999999996048e-02
6.429000000000000270e+00 3.659999999999999920e-01 1.700000000000001510e-02 1.700000000000001510e-02
6.631000000000000227e+00 3.679999999999999938e-01 1.700000000000001510e-02 1.400000000000001243e-02
6.849999999999999645e+00 3.609999999999999876e-01 1.700000000000001510e-02 1.500000000000001332e-02
7.080000000000000071e+00 3.469999999999999751e-01 1.599999999999995870e-02 1.600000000000001421e-02
7.342999999999999972e+00 3.609999999999999876e-01 1.799999999999996048e-02 1.800000000000001599e-02
7.639000000000000234e+00 3.589999999999999858e-01 1.699999999999995959e-02 1.700000000000001510e-02
7.974000000000000199e+00 3.529999999999999805e-01 1.799999999999996048e-02 1.600000000000001421e-02
8.326999999999999957e+00 3.310000000000000164e-01 1.800000000000001599e-02 1.599999999999995870e-02
