#Cluster	Dist	Dist_Sigma	Av	Av_Sigma	[Fe/H]	Age
Arp2	17.59	0.05	0.31	0.103	-1.75	13.0
IC4499	17.08	0.05	0.713	0.238	-1.53	12.0
Lynga7	16.78	0.05	2.263	0.754	-1.01	12.5
NGC0104	13.37	0.05	0.124	0.041	-0.72	12.75
NGC0288	14.84	0.05	0.093	0.031	-1.32	12.5
NGC0362	14.83	0.05	0.155	0.052	-1.26	11.5
NGC1261	16.09	0.05	0.031	0.01	-1.27	11.5
NGC1851	15.47	0.05	0.062	0.021	-1.18	10.0
NGC2298	15.6	0.05	0.434	0.145	-1.92	13.0
NGC2808	15.59	0.05	0.682	0.227	-1.14	10.9
NGC3201	14.2	0.05	0.744	0.248	-1.59	12.0
NGC4147	16.49	0.05	0.062	0.021	-1.8	12.75
NGC4590	15.21	0.05	0.155	0.052	-2.23	13.0
NGC4833	15.08	0.05	0.992	0.331	-1.85	13.0
NGC5024	16.32	0.05	0.062	0.021	-2.1	13.25
NGC5053	16.23	0.05	0.031	0.01	-2.27	13.5
NGC5139	13.94	0.05	0.372	0.124	-1.53	12
NGC5272	15.07	0.05	0.031	0.01	-1.5	12.5
NGC5286	16.08	0.05	0.744	0.248	-1.69	13.0
NGC5466	16.02	0.05	0.0		0.01	-1.98	13.0
NGC5904	14.46	0.05	0.093	0.031	-1.29	12.25
NGC5927	15.82	0.05	1.395	0.465	-0.49	12.25
NGC5986	15.96	0.05	0.868	0.289	-1.59	13.25
NGC6093	15.56	0.05	0.558	0.186	-1.75	13.5
NGC6101	16.1	0.05	0.155	0.052	-1.98	13.0
NGC6121	12.82	0.05	1.085	0.362	-1.16	12.5
NGC6144	15.86	0.05	1.116	0.372	-1.76	13.5
NGC6171	15.05	0.05	1.023	0.341	-1.02	12.75
NGC6205	14.33	0.05	0.062	0.021	-1.53	13.0
NGC6218	14.01	0.05	0.589	0.196	-1.37	13.25
NGC6254	14.08	0.05	0.868	0.289	-1.56	13.0
NGC6304	15.52	0.05	1.674	0.558	-0.45	12.75
NGC6341	14.65	0.05	0.062	0.021	-2.31	13.25
NGC6352	14.43	0.05	0.682	0.227	-0.64	13.0
NGC6362	14.68	0.05	0.279	0.093	-0.99	12.5
NGC6366	14.94	0.05	2.201	0.734	-0.59	12.0
NGC6388	16.13	0.05	1.147	0.382	-0.55	12.0
NGC6397	12.37	0.05	0.558	0.186	-2.02	13.5
NGC6426	17.68	0.05	1.116	0.372	-2.15	13.0
NGC6441	16.78	0.05	1.457	0.486	-0.46	11.3
NGC6496	15.74	0.05	0.465	0.155	-0.46	12.0
NGC6535	15.22	0.05	1.054	0.351	-1.79	13.25
NGC6541	14.82	0.05	0.434	0.145	-1.81	13.25
NGC6584	15.96	0.05	0.31	0.103	-1.5	12.25
NGC6624	15.36	0.05	0.868	0.289	-0.44	13.0
NGC6637	15.28	0.05	0.558	0.186	-0.64	12.5
NGC6652	15.28	0.05	0.279	0.093	-0.81	13.25
NGC6656	13.6	0.05	1.054	0.351	-1.7	12
NGC6681	14.99	0.05	0.217	0.072	-1.62	13.0
NGC6715	17.58	0.05	0.465	0.155	-1.49	12
NGC6717	14.94	0.05	0.682	0.227	-1.26	13.0
NGC6723	14.84	0.05	0.155	0.052	-1.1	12.75
NGC6752	13.13	0.05	0.124	0.041	-1.54	12.5
NGC6779	15.68	0.05	0.806	0.269	-1.98	13.5
NGC6809	13.89	0.05	0.248	0.083	-1.94	13.5
NGC6838	13.8	0.05	0.775	0.258	-0.78	12.5
NGC6934	16.28	0.05	0.31	0.103	-1.47	12.0
NGC6981	16.31	0.05	0.155	0.052	-1.42	12.75
NGC7006	18.23	0.05	0.155	0.052	-1.52	12.25
NGC7078	15.39	0.05	0.31	0.103	-2.37	13.25
NGC7089	15.5	0.05	0.186	0.062	-1.65	12.5
NGC7099	14.64	0.05	0.093	0.031	-2.27	13.25
Palomar1	15.7	0.05	0.465	0.155	-0.65	12
Palomar12	16.46	0.05	0.062	0.021	-0.85	9.5
Palomar15	19.51	0.05	1.24	0.413	-2.07	13.0
Pyxis	18.63	0.05	0.651	0.217	-1.2	11.5
Ruprecht106	17.25	0.05	0.62	0.207	-1.68	11.5
Terzan7	17.01	0.05	0.217	0.072	-0.32	8.0
Terzan8	17.47	0.05	0.372	0.124	-2.16	13.5
