# The final column indicates the type of data (RV/K18 are radial velocity dispersions - W15/GDR2 are proper motion dispersions). The proper motions from Watkins et al. and our Gaia proper motions were converted to km/sec using the cluster distances given in Baumgardt, Sollima, Hilker & Bellini (2019). If you use these profiles for your research, please give reference to these papers.

Cluster <r> NStar   σ   ΔσUp    ΔσLow   Type
Name    ['']  [km/sec]  [km/sec]    [km/sec]

Arp 2          48.57  1.97  0.39  0.31   RV
Arp 2         129.82  1.33  0.36  0.29   RV
BH 140         85.02  2.10  0.21  0.19  GDR2
BH 140        189.85  1.84  0.20  0.19  GDR2
BH 140        300.27  1.82  0.23  0.22  GDR2
BH 261         18.19  4.43  1.04  0.77  GDR2
BH 261         48.50  2.39  0.87  0.60  GDR2
BH 261        110.32  1.94  0.90  0.55  GDR2
Crater         21.36  1.96  0.99  0.71   RV
Djor 1         36.88  2.86  0.98  0.66   RV
Djor 2         59.35  4.88  0.67  0.56  GDR2
Djor 2         81.91  3.14  0.83  0.62   RV
E 3           102.83  0.00  1.01  0.00  GDR2
E 3           124.61  1.30  0.43  0.37   RV
ESO 280-SC06   54.87  1.64  0.39  0.29   RV
ESO 452-SC11   39.55  1.42  0.45  0.31   RV
ESO 452-SC11   50.49  0.73  1.04  0.73  GDR2
FSR 1716       59.40  2.45  0.99  0.73   RV
FSR 1716       75.82  4.10  0.98  0.90  GDR2
FSR 1758       92.08  5.58  0.62  0.53  GDR2
FSR 1758      173.57  4.16  1.01  0.74   RV
FSR 1758      175.58  5.52  0.64  0.54  GDR2
HP 1           28.51  6.47  1.24  0.95   RV
HP 1           78.81  4.36  1.04  0.88  GDR2
HP 1           88.08  4.82  0.96  0.73   RV
IC 1276        47.86  3.61  0.79  0.78  GDR2
IC 1276        90.26  3.58  1.11  1.13  GDR2
IC 1276       116.85  2.24  0.58  0.44   RV
IC 4499        77.63  2.74  0.42  0.34   RV
IC 4499       106.73  1.77  0.69  0.57  GDR2
IC 4499       242.19  1.93  0.32  0.26   RV
Laevens 3      26.02  0.00  1.16  0.00   RV
Liller 1       13.07 20.02  3.49  2.71   RV
Liller 1       24.11 17.43  3.03  2.36   RV
Liller 1       44.80 16.26  2.82  2.19   RV
Liller 1      100.61 12.58  2.62  1.96   RV
Lynga 7        66.82  2.85  1.21  0.77   RV
Lynga 7        45.71  4.23  0.68  0.63  GDR2
Lynga 7       107.64  3.39  0.68  0.63  GDR2
Lynga 7       144.89  3.30  1.14  0.93  GDR2
NGC 104         4.20 12.37  1.05  0.89  K18
NGC 104         7.94 12.53  1.26  1.26  W15
NGC 104         8.90 13.10  0.96  0.81  K18
NGC 104        10.47 12.73  0.82  0.74   RV
NGC 104        13.46 12.46  1.00  1.00  W15
NGC 104        13.60 12.29  0.53  0.51  K18
NGC 104        16.84 12.17  0.98  0.98  W15
NGC 104        19.02 11.92  0.90  0.90  W15
NGC 104        21.09 10.23  0.66  0.60   RV
NGC 104        21.90 12.23  0.31  0.31  K18
NGC 104        25.75 11.74  0.18  0.18  W15
NGC 104        28.45 10.96  0.71  0.64   RV
NGC 104        32.93 12.16  0.22  0.22  W15
NGC 104        34.17 11.94  0.77  0.70   RV
NGC 104        34.70 12.02  0.18  0.18  K18
NGC 104        38.19 11.86  0.24  0.24  W15
NGC 104        39.19 12.81  0.82  0.74   RV
NGC 104        42.99 11.61  0.22  0.22  W15
NGC 104        44.75 12.80  0.81  0.74   RV
NGC 104        47.42 11.80  0.20  0.20  W15
NGC 104        51.04 10.21  0.65  0.60   RV
NGC 104        51.64 11.28  0.19  0.19  W15
NGC 104        53.60 11.41  0.13  0.13  K18
NGC 104        55.71 11.82  0.21  0.21  W15
NGC 104        58.66 10.54  0.68  0.62   RV
NGC 104        59.74 11.68  0.20  0.20  W15
NGC 104        63.69 11.42  0.19  0.19  W15
NGC 104        67.60 11.50  0.19  0.19  W15
NGC 104        68.74 10.55  0.68  0.60   RV
NGC 104        71.47 11.37  0.22  0.22  W15
NGC 104        75.56 11.37  0.19  0.19  W15
NGC 104        79.69 11.17  0.23  0.23  W15
NGC 104        84.08 11.14  0.19  0.19  W15
NGC 104        86.37 10.70  0.68  0.62   RV
NGC 104        88.51 11.04  0.19  0.19  W15
NGC 104        93.08 10.79  0.17  0.17  W15
NGC 104        97.88 10.69  0.18  0.18  W15
NGC 104       103.52 10.39  0.18  0.18  W15
NGC 104       110.45 10.50  0.15  0.15  W15
NGC 104       118.74 10.03  0.64  0.58   RV
NGC 104       123.35 10.36  0.20  0.20  W15
NGC 104       132.92  9.31  0.40  0.37  GDR2
NGC 104       161.21  9.46  0.60  0.55   RV
NGC 104       205.62  8.55  0.55  0.50   RV
NGC 104       225.37  8.30  0.35  0.33  GDR2
NGC 104       254.39  8.46  0.54  0.49   RV
NGC 104       295.99  8.13  0.53  0.47   RV
NGC 104       313.56  9.03  0.38  0.35  GDR2
NGC 104       330.59  8.01  0.52  0.46   RV
NGC 104       365.66  8.09  0.52  0.47   RV
NGC 104       401.13  7.57  0.49  0.44   RV
NGC 104       403.27  8.17  0.33  0.32  GDR2
NGC 104       436.06  7.53  0.48  0.44   RV
NGC 104       473.71  7.19  0.46  0.42   RV
NGC 104       515.00  7.33  0.47  0.43   RV
NGC 104       527.49  6.87  0.29  0.27  GDR2
NGC 104       560.02  6.86  0.45  0.41   RV
NGC 104       613.61  6.42  0.42  0.38   RV
NGC 104       682.21  6.32  0.27  0.25  GDR2
NGC 104       686.09  6.46  0.43  0.38   RV
NGC 104       764.68  6.13  0.41  0.38   RV
NGC 104       858.93  5.48  0.38  0.34   RV
NGC 104       881.55  5.50  0.37  0.33  GDR2
NGC 104       984.19  5.25  0.36  0.33   RV
NGC 104      1230.51  4.03  0.30  0.27   RV
NGC 104      1741.37  3.69  0.38  0.33   RV
NGC 288         6.45  3.42  0.38  0.38  W15
NGC 288        11.86  3.57  0.39  0.39  W15
NGC 288        17.90  3.44  0.33  0.33  W15
NGC 288        23.54  3.03  0.22  0.22  W15
NGC 288        28.82  3.06  0.22  0.22  W15
NGC 288        32.15  2.83  0.24  0.24  W15
NGC 288        36.18  2.66  0.22  0.22  W15
NGC 288        40.41  2.82  0.20  0.20  W15
NGC 288        43.67  2.80  0.22  0.22  W15
NGC 288        46.12  2.78  0.25  0.22   RV
NGC 288        46.68  2.98  0.22  0.22  W15
NGC 288        50.48  2.50  0.22  0.22  W15
NGC 288        53.81  2.31  0.18  0.18  W15
NGC 288        56.87  2.48  0.21  0.21  W15
NGC 288        59.81  2.77  0.24  0.24  W15
NGC 288        63.19  2.75  0.20  0.20  W15
NGC 288        66.45  2.84  0.18  0.18  W15
NGC 288        67.96  3.47  0.40  0.35  GDR2
NGC 288        69.03  2.57  0.19  0.19  W15
NGC 288        72.08  2.42  0.19  0.19  W15
NGC 288        74.82  2.90  0.20  0.20  W15
NGC 288        78.41  3.10  0.21  0.21  W15
NGC 288        82.20  2.81  0.23  0.23  W15
NGC 288        87.72  3.12  0.24  0.24  W15
NGC 288        90.17  2.89  0.25  0.22   RV
NGC 288        99.57  2.92  0.19  0.19  W15
NGC 288       127.74  2.54  0.22  0.20   RV
NGC 288       177.07  2.47  0.33  0.28  GDR2
NGC 288       178.02  2.85  0.25  0.22   RV
NGC 288       233.61  2.29  0.22  0.19   RV
NGC 288       327.69  1.97  0.19  0.17   RV
NGC 288       370.49  2.24  0.39  0.33  GDR2
NGC 288       591.90  1.44  0.24  0.21   RV
NGC 362         3.44  8.15  0.78  0.78  W15
NGC 362         3.80  7.66  0.69  0.58  K18
NGC 362         6.65  8.81  0.78  0.78  W15
NGC 362         7.80  9.03  0.66  0.64  K18
NGC 362         8.37  7.81  0.62  0.62  W15
NGC 362         9.33  7.87  0.70  0.70  W15
NGC 362        12.60  9.34  0.48  0.43  K18
NGC 362        12.89  7.92  0.23  0.23  W15
NGC 362        12.96  7.47  0.70  0.60   RV
NGC 362        16.49  8.00  0.26  0.26  W15
NGC 362        18.91  8.66  0.28  0.28  W15
NGC 362        20.00  8.39  0.30  0.29  K18
NGC 362        21.84  8.20  0.19  0.19  W15
NGC 362        25.03  8.18  0.19  0.19  W15
