rad density density_err 
0.016476 27254.81370  1515.74659 
0.021719 30160.82507  6414.35776 
0.028304 31874.48803  9604.41413 
0.066965 23957.59494  2343.41497 
0.068683 24856.68552  1035.09916 
0.077956 24402.99988  1016.20647 
0.084888 22879.32554  3213.92238 
0.088074 22879.32554  3213.92238 
0.105645 22051.75800  3730.73549 
0.110624 21849.58627  3382.29513 
0.126721 23520.31955   325.44863 
0.130572 22051.75800  2156.99531 
0.137673 24402.99988  2042.50494 
0.150608 20674.89049  2904.25927 
0.167436 20297.53121  2561.56544 
0.187003 21849.58627  1215.14079 
0.196720 19206.27831  2150.75785 
0.197628 19744.36713  1098.06134 
0.198998 21254.12438  1182.02483 
0.226386 19030.19409   263.31915 
0.241462 18511.56847   513.09285 
0.247656 19030.19409  1325.11533 
0.261125 18511.56847  1549.39845 
0.265368 17196.62488   237.94821 
0.277875 18341.85339  2314.75726 
0.281092 20297.53121  6116.04790 
0.298434 17841.98697  3018.52279 
0.301890 16272.08551   904.95420 
0.308922 16272.08551  1133.06201 
0.323481 16122.90213  1805.47515 
0.333310 14840.31836   617.99072 
0.341860 15828.62600  2677.90064 
0.370552 14042.46072  1373.56495 
0.376573 12343.63917   859.51543 
0.385344 13287.49817  1112.14936 
0.401651 12118.34236   335.88914 
0.407238 12457.85345   692.82987 
0.412904 11680.01009   161.61529 
0.431369 11154.32304   154.34140 
0.442434 11257.53272   626.07534 
0.448589 10361.99117   431.50115 
0.452740 10266.99186   427.54512 
0.469730  9715.00924   676.47800 
0.493002  9537.69033   264.36014 
0.510327  9108.42356   126.03247 
0.528261  8080.59272  1135.10329 
0.538082  8383.84456   232.37851 
0.554433  8080.59272   336.49759 
0.572597  7788.30979   215.87183 
0.603738  7235.07800   200.53767 
0.606525  6973.37817   485.57205 
0.614963  6598.46956   832.73239 
0.635110  6243.71711   966.52146 
0.640986  6537.97443   363.60228 
0.652903  6073.55848   853.16962 
0.655917  5962.70355   923.02083 
0.674293  6186.47437   257.62141 
0.677406  5908.03715   577.89535 
0.678967  6478.03392   360.26876 
0.696384  5642.13168   551.88577 
0.697989  5853.87194   325.55667 
0.739348  5488.36793   152.12338 
0.742760  5642.13168   234.95352 
0.753093  5098.50932   426.73977 
0.760062  5051.76591   422.82739 
0.763570  4607.26527   979.83552 
0.799556  4649.89577   389.19129 
0.812547  5005.45104   278.37267 
0.823851  4607.26527   191.85890 
0.860694  4319.59687   179.87962 
0.880742  4481.70450   312.07119 
0.886847  4012.76030   335.86374 
0.922250  3939.51917    54.51079 
0.948088  3975.97109   276.85583 
0.963493  4087.36308   574.16324 
0.970172  3975.97109   501.77088 
0.974650  3832.15633   266.84169 
0.983668  3559.94442    49.25864 
0.999652  4049.88991   861.29748 
1.011227  3276.74932   228.16744 
1.015895  3727.71943   470.44132 
1.046764  3187.44880   132.73393 
1.081057  3399.72053   526.27350 
1.326932  2266.95666    94.40217 
1.354718  2145.07864    59.45604 
1.468415  1903.01941    52.74678 
1.595323  1642.26493    22.72388 
1.985403  1430.35296   561.29271 
1.999166  1075.08603    29.79861 
2.107894  1065.22958   104.19556 
2.420186  1105.20596   608.35042 
2.856596   684.60997   165.65236 
2.977479   590.80372    74.55992 
2.998118   543.80503     7.52458 
3.294949   424.07553    35.49467 
3.458189   383.21563    42.91326 
3.731202   327.67493    41.35285 
3.800570   372.77194    47.04413 
3.998055   324.67079    18.05621 
4.167242   257.89518    43.63093 
4.404015   255.53078     3.53576 
4.600963   185.11568    69.79809 
4.632855   235.20320     3.25449 
4.998604   214.50786    24.02102 
5.044856   167.27969    40.47600 
5.468255   162.72086     4.51020 
5.995822   120.07241    22.04763 
6.307376   143.03530    36.71815 
7.142475   102.66992    18.85219 
7.995557    75.76057     9.56105 
8.827724    60.73558    10.27530 
9.657145    43.59566     1.20836 
9.996518    31.29271    11.32049 
10.515956    37.27719     5.23643 
11.346156    30.16083     3.80632 
11.990816    24.85669     2.08048 
12.185651    24.17927     3.05144 
13.027130    18.34185     0.25379 
13.692013    15.16129     0.64707 
14.116807    14.41229     0.61566 
14.558097    13.19873     0.56382 
15.023369    12.20212     0.52077 
15.510408    11.30414     0.48289 
16.045794     9.48056     0.40499 
16.639349     8.53987     0.36481 
17.280675     7.55942     0.32263 
17.982141     6.60736     0.28225 
18.769105     5.53281     0.23635 
19.655498     4.76502     0.20337 
20.668716     3.85888     0.16484 
21.869554     3.04860     0.13023 
23.292424     2.43528     0.10403 
25.174103     1.55940     0.06655 
27.832910     1.01350     0.04329 
31.972864     0.52579     0.02246 
40.449955     0.18359     0.00784 
56.770090     0.07360     0.00314 
74.764761     0.07718     0.00330 
88.424090     0.08083     0.00345 
99.658968     0.08540     0.00364 
109.357281     0.08735     0.00373 
118.590683     0.07877     0.00336 
127.740922     0.07617     0.00325 
136.774002     0.07019     0.00300 
145.832467     0.06634     0.00283 
154.234578     0.07260     0.00310 
162.779855     0.05771     0.00246 
172.898098     0.04613     0.00197 
184.797848     0.03669     0.00157 
199.956355     0.02499     0.00107 
