     rad density density_err 
     0.007326 58354.11038 14979.90445 
     0.007671 62816.16990 22724.45893 
     0.012327 61104.25487 21175.34239 
     0.014992 54710.59684 11635.40256 
     0.018149 48536.83491  4747.63622 
     0.018317 53219.58119 13661.83523 
     0.022483 48091.84653  8136.22020 
     0.027469 44266.11954  6218.18472 
     0.029638 36146.93287  4047.80657 
     0.033485 38910.91581  3256.80196 
     0.041006 33271.42888   922.19805 
     0.041290 30343.90378  4697.20739 
     0.049986 31194.02763  1734.82166 
     0.052948 25007.56766  6050.98198 
     0.061214 28188.46665  1962.82650 
     0.064692 22390.89496  4761.91253 
     0.065441 27673.96915  3492.47809 
     0.072920 22390.89496  2190.16803 
     0.074619 25472.49306  3214.64996 
     0.076533 23018.20495   638.00517 
     0.088074 19864.21708  1383.19023 
     0.091379 22185.61400  3116.47480 
     0.099735 19864.21708  1662.61369 
     0.111391 16985.23080   235.02317 
     0.111647 19145.70895  3239.08760 
     0.119083 16829.50927   935.95471 
     0.123268 16985.23080  1902.04046 
     0.134539 17461.09409  5000.55263 
     0.134849 14523.50547   402.55405 
     0.136097 14793.51759   616.04181 
     0.136411 17461.09409  5523.38082 
     0.140880 10329.31335  4858.89841 
     0.141856 11750.90871  3016.53968 
     0.142840 13003.83507  1088.40706 
     0.146504 14258.42162  1394.68919 
     0.158434 13003.83507   905.48636 
     0.159900 11222.03070  1576.38981 
     0.162873 12766.48833  1068.54139 
     0.165519 12418.56608   864.73276 
     0.165901 11325.86687   788.64565 
     0.166667 13742.68059  3123.54752 
     0.170157 12080.12568   841.16639 
     0.181907 10521.34963   438.13726 
     0.184862  8204.86524  3346.39982 
     0.186573  9079.69902  2063.70738 
     0.190480 11017.20556  1077.64926 
     0.203633 10521.34963  1477.96319 
     0.210789  7414.32216  2569.39244 
     0.212251  9163.71244   253.99443 
     0.212740  7908.08726  1797.41399 
     0.217194  9684.37176  1222.17583 
     0.223794  8357.40508   348.02480 
     0.237601  6398.40097  2412.52483 
     0.239800  8591.54863   962.09897 
     0.244821  8512.78084  1074.32007 
     0.248799  9420.44574  3121.93086 
     0.258731  8913.97584  2819.71353 
     0.264149  5676.37989  1967.11813 
     0.266593  8129.64259  1728.94594 
     0.269060  7278.99553   506.85287 
     0.272175  7552.16470  1060.87354 
     0.286978  5943.89943   750.12509 
     0.290301  5371.20159  1378.82466 
     0.292313  7146.13889  1415.76465 
     0.292987  6281.61699   174.11019 
     0.299122  6577.66048   736.57971 
     0.303983  7346.34724  2323.83339 
     0.306090  6699.94832  1230.24083 
     0.316846  5035.83454   924.67717 
     0.319778  5420.90071   301.47745 
     0.326474  5889.40543   576.07289 
     0.342648  4550.62923   835.58404 
     0.346616  4989.66573   138.30064 
     0.353060  5224.82144   437.31196 
     0.371406  4943.92020   553.63017 
     0.380933  4678.12102   325.74812 
     0.396140  3785.04853   640.35778 
     0.399805  3681.89545   729.44250 
     0.403505  4000.10556   166.57514 
     0.408177  4345.81718   425.08662 
     0.413856  4000.10556    55.34912 
     0.416724  3581.55358   503.11078 
     0.435360  4074.47308   630.72455 
     0.446528  3648.13963   101.11701 
     0.448589  2844.92913   985.89449 
     0.453784  3927.09541   721.09110 
     0.475170  2767.39692   669.61606 
     0.476265  3516.18286   393.74926 
     0.479566  3420.35711   334.56263 
     0.489608  3581.55358   761.69554 
     0.493002  3648.13963   936.50272 
     0.538082  3483.94630  1420.94683 
     0.540566  3177.39679   815.65977 
     0.554433  3266.41569  1231.60599 
     0.559563  2924.63352   621.98715 
     0.571280  2871.25294   652.60157 
     0.587285  2793.00332   758.33396 
     0.633649  2259.80754   253.05781 
     0.640986  2118.70969    88.22876 
     0.652903  2239.08950   411.14038 
     0.661986  2080.03888   232.92696 
     0.677406  2080.03888   351.90278 
     0.680532  2004.80184   253.00767 
     0.712605  1778.57201    98.91333 
     0.722518  1730.10098    72.04605 
     0.727526  1534.86949   171.87779 
     0.732569  1637.08584    45.37579 
     0.734258  1778.57201   249.84095 
     0.792225  1412.76996    19.54838 
     0.805098  1300.38351   127.19717 
     0.816298  1479.35176   186.69543 
     0.827654  1374.26806    76.42841 
     0.848885  1241.85661    34.42106 
